Ligand_symbol,Receptor_symbol,pathway_name,interaction_name_2,interaction_name
CD69,KLRB1,CLEC,CLEC2C - KLRB1,CLEC2C_KLRB1
NEGR1,NEGR1,NEGR,NEGR1 - NEGR1,NEGR1_NEGR1
FBLN1,VCAN,,FBLN1 - VCAN,FBLN1_VCAN
VCAN,FN1,,VCAN - FN1,VCAN_FN1
VCAN,SELPLG,,VCAN - SELPLG,VCAN_SELPLG
FN1,TNFRSF11B,,FN1 - TNFRSF11B,FN1_TNFRSF11B
APOD,LEPR,,APOD - LEPR,APOD_LEPR
TNFSF10,TNFRSF11B,,TNFSF10 - TNFRSF11B,TNFSF10_TNFRSF11B
MXRA5,CD69,,MXRA5 - CD69,MXRA5_CD69
IL7R,TNFRSF11B,,IL7R - TNFRSF11B,IL7R_TNFRSF11B
SLAMF7,SLAMF7,,SLAMF7 - SLAMF7,SLAMF7_SLAMF7
CD48,PDCD1,,CD48 - PDCD1,CD48_PDCD1
